gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,0,-1.2774445836787656,0,1,-1.1603229160349193,-0.992636357817518,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0.06632741908223598,1,0,-0.2596289419448806,-0.1721798973458578,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
0,0,0,0,0.5142514200025698,0,0,-0.7465354629935549,-0.19368784370565317,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
0,0,0,1,-0.4223169455581282,1,1,0.8089065291619363,-0.14575269761351434,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
1,0,0,0,-0.9109613101984924,0,0,-1.1636465100352518,-0.872610987413778,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,1,1.2064976032430856,1,0,-0.28621769394753876,0.533038089501627,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,1,-0.7888002190384014,1,1,-0.4922805219681379,-0.7466295703257869,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,-0.6666391278783103,1,0,-1.5225946620711341,-0.8616253901961595,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,1,0,1.0436161483629645,1,0,1.182810854199314,1.5006309625064516,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
0,0,0,0,-0.30015585439803716,1,1,1.3539759452164248,0.17924891645711644,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
1,0,1,1,1.4915401492832983,1,0,1.611554480242174,2.477444678155783,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0,0.7992939660427822,1,0,-1.4660935640654862,-0.5544919161782818,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,1,1.5729808767233588,1,0,1.393859073220412,2.251159023018572,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
1,0,0,0,-0.46303730927815856,1,1,0.8404806721650927,-0.18391551525704866,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,-0.8295205827584317,1,0,-1.4943441130683104,-0.9165754357164161,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,1,0,1.0436161483629645,1,1,-0.1615829189350795,0.5406044747338422,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
0,0,1,1,0.6771328748826912,1,0,-0.17155370093607614,0.3046567883088463,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1,0,0,0,-0.0965540357978854,1,1,-0.31446824295036285,-0.3305225014182795,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0,1.6137012404433893,1,1,0.8471278601657574,1.8043231651067617,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,1,1,0,1.5729808767233588,1,1,1.0498670941860242,1.9796956508097083,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,1,1,0,-1.2367242199587352,1,1,1.0216165451832002,-0.9256639217679398,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
1,0,1,1,-0.21871512695797646,1,0,0.046141706085686136,-0.1788197864271895,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True
